"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.12","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.12","Likutei Moharan.35","https://www.sefaria.org.il/Likutei_Moharan.35","בחינת שנה של לילה כי שנה הוא בחינת הסתלקות הדעת ואז בשעת שנה נכנס הדעת לתוך אמונה ונתחדש שם בבחינת חדשים לבקרים רבה אמונתך כמבאר בדברי רבנו ז ל בהתורה אשרי העם וכו בלקוטי מוהר ן חלק א סימן לה עין שם","k_of_n","7/40 words match (window=""בחינת שנה של לילה כי שנה הוא בחינת הסתלקות הדעת ואז בשעת שנה נכנס הדעת לתוך אמונה ונתחדש שם בבחינת חדשים לבקרים רבה אמונתך כמבאר בדברי רבנו ז ל בהתורה אשרי העם וכו בלקוטי מוהר ן חלק א עין שם"")","7/40","Likutei Moharan.35.1.2","https://www.sefaria.org.il/Likutei_Moharan.35.1.2","א דע כי תשובה היא לשוב את הדבר למקום שנטל משם, והוא בחינת זרקא, המובא בזהר הקדוש (תיקונים תיקון כא דף מג: ובדף ס. ותיקון סד דף פו: ובתיקונים שבסוף הזוהר חדש דף קט:): דאזדריקת לאתר דאתנטילת מתמן; ומאן ההוא אתר, הוא חכמה. כי חכמה היא שרש כל הדברים, כמו שכתוב (שם קד): כלם בחכמה עשית.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.3.6","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.3.6","Likutei Moharan.149","https://www.sefaria.org.il/Likutei_Moharan.149","וכמובא בזהר הקדוש בשלח נז ובדברי רבנו ז ל סימן קמט שעלידי קימת חצות ועלידי שעוסקין אז בתורה עלידיזה נמשך הדעת הינו כנ ל כי אז בחצות לילה השני נמתק הדין ואין החשך נמשך אז רק מבחינת הקשיות שאפשר לישבן רק שנסתמו","k_of_n","7/40 words match (window=""וכמובא בזהר הקדוש בשלח נז ובדברי רבנו ז ל שעלידי קימת חצות ועלידי שעוסקין אז בתורה עלידיזה נמשך הדעת הינו כנ ל כי אז בחצות לילה השני נמתק הדין ואין החשך נמשך אז רק מבחינת הקשיות שאפשר לישבן רק שנסתמו"")","7/40","Likutei Moharan.149.1.5","https://www.sefaria.org.il/Likutei_Moharan.149.1.5","ובבקר טוב להסתכל על השמים, ועלידיזה נמשך הדעת, עין בזהר הקדוש (פ' בשלח נז):","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.5.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.5.3","Likutei Moharan.277","https://www.sefaria.org.il/Likutei_Moharan.277","שהיו חולים גדולים וגם כי רב הצדיקים לא נהגו כך ורבנו הקדוש ז ל ספר שמעולם לא שתה אפלו מים קדם התפלה אףעלפי שמדין השלחן ערוך מתר לשתות מים אףעלפיכן הוא לא שתה אפלו מים קדם התפלה שיחות הר ן סימן רעז","k_of_n","6/40 words match (window=""שהיו חולים גדולים וגם כי רב הצדיקים לא נהגו כך ורבנו הקדוש ז ל ספר שמעולם לא שתה אפלו מים קדם התפלה אףעלפי שמדין השלחן ערוך מתר לשתות מים אףעלפיכן הוא לא שתה אפלו מים קדם התפלה שיחות הר ן"")","6/40","Likutei Moharan.277.4.2","https://www.sefaria.org.il/Likutei_Moharan.277.4.2","כי חלול שבת הוא בחינות חלל, בחינת הסתלקות, בחינות: כי ימצא חלל באדמה (דברים כ״א:א׳). ומי שמתה אשתו הראשונה, פסיעותיו מתקצרות, כמו שאמרו רבותינו זכרונם לברכה (סנהדרין כב), ושבת היא בחינת אשתו ראשונה, כמו שאמרו רבותינו זכרונם לברכה (בראשית רבה פרשה יא), שאמרה שבת לפני הקדושברוךהוא: לכל נתת בן זוג ולי לא נתת, והשיבה השם יתברך שכנסת ישראל הוא בן זוג שלה. נמצא שחלול שבת הוא בחינות פסיעות קצרות, בחינות פסיעותיו מתקצרות כנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.1.2","Likutei Moharan.30","https://www.sefaria.org.il/Likutei_Moharan.30","על פי התורה מישרא דסכינא וכו בסימן ל עין שם כל התורה","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.3.7","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.3.7","Likutei Moharan.35","https://www.sefaria.org.il/Likutei_Moharan.35","הקלפות שהם הארבע מלכיות שהם חכמות חיצוניות כשהם מתחילים להתגבר על השכל אזי צריכין לסלק הדעת לגמרי ולסמך על אמונה שזהו בחינת שנה שהוא הסתלקות הדעת שאז באה הנשמה בתוך אמונה כמו שכתוב במקום אחר לקוטי מוהר ן חלק א סימן לה","k_of_n","6/40 words match (window=""הקלפות שהם הארבע מלכיות שהם חכמות חיצוניות כשהם מתחילים להתגבר על השכל אזי צריכין לסלק הדעת לגמרי ולסמך על אמונה שזהו בחינת שנה שהוא הסתלקות הדעת שאז באה הנשמה בתוך אמונה כמו שכתוב במקום אחר לקוטי מוהר ן חלק א"")","6/40","Likutei Moharan.35.1.5","https://www.sefaria.org.il/Likutei_Moharan.35.1.5","וחכמות חיצוניות הם בחינת קנה, כי יש קנה בקדשה, הם חכמות קדושות, כמו שכתוב (משלי ד׳:ה׳): קנה חכמה. וזה לעמת זה עשה אלקים, הינו קנה שבקלפות, כמו שכתוב (תהילים ס״ח:ל״א): גער חית קנה, והם חכמות חיצוניות.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.4.5","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.4.5","Likutei Moharan.22","https://www.sefaria.org.il/Likutei_Moharan.22","הארה מזה כי זה עקר השלמות להודיע גם להגוף מכל ההארות וההשגות שהנשמה משגת כמו שכתוב בהתורה חותם בתוך חותם סימן כב וזהו בחינת אף בשרי ישכן לבטח שגם בשר הגוף ישכן לבטח עלידי שיזכה בחייו בעודו בגופו להכיר את בוראו עלידי","k_of_n","6/40 words match (window=""הארה מזה כי זה עקר השלמות להודיע גם להגוף מכל ההארות וההשגות שהנשמה משגת כמו שכתוב בהתורה חותם בתוך חותם וזהו בחינת אף בשרי ישכן לבטח שגם בשר הגוף ישכן לבטח עלידי שיזכה בחייו בעודו בגופו להכיר את בוראו עלידי"")","6/40","Likutei Moharan.22.1.4","https://www.sefaria.org.il/Likutei_Moharan.22.1.4","חותם הוא, כי יש מוכיחי הדור, והם בחינות רגלין, ונקראים רגלין, על שם שהם למודי ה', הינו שלומדין כביכול את ה', שנותנין לו עצות, והם הולכים בשליחותו לישראל, להוכיחם ולהחזירם להשם יתברך. ועל שם זה נקראים בחינות רגלין, על שם העצה, כמו שפרש רש""י (שמות יא) על ""וכל העם אשר ברגליך"": ההולכים אחר עצתך, ועל שם ההליכה, שהולכים בשליחותו להוכיח כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.8.7","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.8.7","Likutei Moharan.54","https://www.sefaria.org.il/Likutei_Moharan.54","כי תפלין הם מחין סימן נד הם עקר המשכת השגת אלקות הנאמר בהתורה הנ ל שעקרה הוא בחינת תפלין כידוע למבין דבריו כי תפלין של ראש ושל יד הם בחינת חכמה עילאה וחכמה תתאה זהר ואתחנן רסב וזה בחינת שחרות של תפלין","k_of_n","8/40 words match (window=""כי תפלין הם מחין הם עקר המשכת השגת אלקות הנאמר בהתורה הנ ל שעקרה הוא בחינת תפלין כידוע למבין דבריו כי תפלין של ראש ושל יד הם בחינת חכמה עילאה וחכמה תתאה זהר ואתחנן רסב וזה בחינת שחרות של תפלין"")","8/40","Likutei Moharan.54.1.3","https://www.sefaria.org.il/Likutei_Moharan.54.1.3","א כי צריכין לשמר מאד את הזכרון, שלא יפל לשכחה, בחינת מיתת הלב. ועקר הזכרון הוא לזכר תמיד בעלמא דאתי, שלא יהיה בדעתו, חס ושלום, שאין עולם אלא אחד. ועלידי מה שמדבק מחשבתו בעלמא דאתי, עלידיזה נעשה יחוד ה' אלקי הנ""ל.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.9.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.9.2","Likutei Moharan.19","https://www.sefaria.org.il/Likutei_Moharan.19","ידם נמשכין כפירות הם נקראים קיא צאה בלי מקום ישעיה כח ח כי המאכל מחיה את האדם ועלידיזה מאיר פניו כשאוכל בקדשה כמו שכתוב רות ג ז ויאכל וישת וייטב לבו כמו שכתוב במקום אחר לקוטי מוהר ן חלק א סימן יט","k_of_n","6/40 words match (window=""ידם נמשכין כפירות הם נקראים קיא צאה בלי מקום ישעיה כח ח כי המאכל מחיה את האדם ועלידיזה מאיר פניו כשאוכל בקדשה כמו שכתוב רות ג ז ויאכל וישת וייטב לבו כמו שכתוב במקום אחר לקוטי מוהר ן חלק א"")","6/40","Likutei Moharan.19.3.12","https://www.sefaria.org.il/Likutei_Moharan.19.3.12","ויוסף, עלידי שהיה לו שלמות לשון הקדש, כמו שכתוב (בראשית מ״ה:י״ב): כי פי המדבר אליכם – בלשון הקדש, על כן כתוב בו (שם מא): הנמצא כזה איש אשר רוח אלקים בו; רוח אלקים הינו תקון הברית, בבחינת: ולא קמה עוד רוח באיש, כי בלשון הקדש תלוי תקון הברית, בבחינת: מכאן שנאסר להם עריות, כי זה בלא זה אי אפשר להיות, הינו תקון הברית ושלמות לשון הקדש הם תלויים זה בזה.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.11.6","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.11.6","Likutei Moharan.10","https://www.sefaria.org.il/Likutei_Moharan.10","ל כמוכן הרבי והצדיק כל מה שמגיע למעלה גדולה יתרה ביותר הוא צריך להאיר גם בהקטנים והנמוכים ביותר כי זה עקר מעלתו וגדלתו לקרב הרחוקים ביותר שזהו עקר גדלת השםיתברך וכבודו כמו שכתוב במקום אחר לקוטי מוהר ן חלק א סימן י","k_of_n","8/40 words match (window=""ל כמוכן הרבי והצדיק כל מה שמגיע למעלה גדולה יתרה ביותר הוא צריך להאיר גם בהקטנים והנמוכים ביותר כי זה עקר מעלתו וגדלתו לקרב הרחוקים ביותר שזהו עקר גדלת השםיתברך וכבודו כמו שכתוב במקום אחר לקוטי מוהר ן חלק א"")","8/40","Likutei Moharan.10.3.4","https://www.sefaria.org.il/Likutei_Moharan.10.3.4","וזה פרוש (תהילים מ״ח:ב׳): גדול ה' ומהלל מאד, כלומר, אימתי גדול ה', כשהוא מהלל מאד – מסטרא דמותא, שהוא בחינת עכו""ם (כמו שאמרו רבותינו זכרונם לברכה (ב""ר פ' ט) על פסוק (בראשית א׳:ל״א): והנה טוב מאד, מאד – זה מלאך המות), כשהוא מהלל מהם, אזי הוא גדול, כי הוא עקר גדלתו;","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.16.4","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.16.4","Likutei Moharan.228","https://www.sefaria.org.il/Likutei_Moharan.228","ודרשו רבותינו ז ל בראשית רבה פד ד שהיה מגיר גרים כמובא בדבריו ז ל לקוטי מוהר ן חלק א סימן רכח וזה שם לז ב אלה תלדות יעקב יוסף הינו שיוסף הלך בדרך אביו יעקב והיה עוסק גם כן לגיר גרים","k_of_n","6/40 words match (window=""ודרשו רבותינו ז ל בראשית רבה פד ד שהיה מגיר גרים כמובא בדבריו ז ל לקוטי מוהר ן חלק א וזה שם לז ב אלה תלדות יעקב יוסף הינו שיוסף הלך בדרך אביו יעקב והיה עוסק גם כן לגיר גרים"")","6/40","Likutei Moharan.228.1.3","https://www.sefaria.org.il/Likutei_Moharan.228.1.3","ועל כן בהכרח שיהיה מחלקת על מי שמחזיר בני אדם למוטב ומגיר גרים, כדי שלא יהיה לו שום שלוה, כי אז מי שמתקרב אליו הוא באמת, ואזי יכול לגיר גרים באמת, לא משום שלום ונחת כנ""ל.","not_needed","","",""
